index,candidatura,nombre,nombre_completo,numero,partido,siglas,suplente,gender
131,3,Francisco, Francisco José Millán Mon.,8,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
132,3,Pablo, Pablo Zalba Bidegain.,9,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
133,3,Veronica, Verónica Lope Fontagne.,10,PARTIDO POPULAR (P.P.),P.P.,False,1.0
134,3,Antonio, Antonio López-Istúriz White.,11,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
135,3,Santiago, Santiago Fisas Ayxela.,12,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
136,3,Gabriel, Gabriel Mato Adrover.,13,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
137,3,Maria, María del Pilar Ayuso González.,14,PARTIDO POPULAR (P.P.),P.P.,False,1.0
138,3,Maria, María Esther Herranz García.,15,PARTIDO POPULAR (P.P.),P.P.,False,1.0
139,3,Agustin, Agustín Díaz de Mera García Consuegra.,16,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
140,3,Carlos, Carlos Iturgaiz Angulo.,17,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
141,3,Jose, José Ignacio Salafranca Sánchez-Neyra.,18,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
142,3,Maria, María Auxiliadora Correa Zamora.,19,PARTIDO POPULAR (P.P.),P.P.,False,1.0
143,3,Eva, Eva Ortíz Vilella.,20,PARTIDO POPULAR (P.P.),P.P.,False,1.0
144,3,Pablo, Pablo Arias Echeverría.,21,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
145,3,Salvador, Salvador Garriga Polledo.,22,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
146,3,Gabino, Gabino Puche Rodríguez-Acosta.,23,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
147,3,Maria, María Luisa Peón Pérez.,24,PARTIDO POPULAR (P.P.),P.P.,False,1.0
148,3,Maria, María del Carmen Pardo López.,25,PARTIDO POPULAR (P.P.),P.P.,False,1.0
149,3,Juan, Juan Andrés Naranjo Escobar.,26,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
150,3,Pablo, Pablo José Venzal Contreras.,27,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
151,3,Sofia, Sofía Acedo Reyes.,28,PARTIDO POPULAR (P.P.),P.P.,False,1.0
152,3,Rocio, Rocío Salcedo López.,29,PARTIDO POPULAR (P.P.),P.P.,False,1.0
153,3,Antonio, Antonio Pablo González Terol.,30,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
154,3,Javier, Javier Fernández Soberón.,31,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
155,3,Maria, María Roldán García.,32,PARTIDO POPULAR (P.P.),P.P.,False,1.0
156,3,Zoe, Zoe Iratxe Nubla Durango.,33,PARTIDO POPULAR (P.P.),P.P.,False,1.0
157,3,Francisco, Francisco Javier Bermúdez Carrillo.,34,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
158,3,Juan, Juan Carlos Caballero Montañés.,35,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
159,3,Mirian, Mirian Rabaneda Gudiel.,36,PARTIDO POPULAR (P.P.),P.P.,False,1.0
160,3,Pedro, Pedro Juan Muriel Tato.,37,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
161,3,Francisco, Francisco Javier Bravo Fernández.,38,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
162,3,Andrea, Andrea Levy Soler.,39,PARTIDO POPULAR (P.P.),P.P.,False,1.0
163,3,Enrique, Enrique Sánchez-Guijo Acevedo.,40,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
164,3,Noelia, Noelia Moreno Hernández.,41,PARTIDO POPULAR (P.P.),P.P.,False,1.0
165,3,Fernando, Fernando Ledesma Gelas.,42,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
166,3,Jose, José Luis Torres Gutiérrez.,43,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
167,3,Marta, Marta Lorenzo Cavero.,44,PARTIDO POPULAR (P.P.),P.P.,False,1.0
168,3,Marino, Marino Arranz Boal.,45,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
169,3,Marius, Marius Ionel Ioan.,46,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
170,3,Daniel, Daniel Ortíz Espejo.,47,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
171,3,Irene, Irene Isabel Oliver Montell.,48,PARTIDO POPULAR (P.P.),P.P.,False,1.0
172,3,Silvia, Silvia Muñoz Moreno.,49,PARTIDO POPULAR (P.P.),P.P.,False,1.0
173,3,Ana, Ana María de Requesens Moll.,50,PARTIDO POPULAR (P.P.),P.P.,False,1.0
174,3,Francisco, Francisco de Borja Fanjul Fernández-Pita.,51,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
175,3,Maria, María Isabel Fernández Pérez.,52,PARTIDO POPULAR (P.P.),P.P.,False,1.0
176,3,Carla, Carla Miralles Castella.,53,PARTIDO POPULAR (P.P.),P.P.,False,1.0
177,3,Federico, Federico Pozuelo Vidal.,54,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
178,3,Maria, María Inmaculada Múgica Ustarroz.,1,PARTIDO POPULAR (P.P.),P.P.,True,1.0
179,3,Joaquin, Joaquín Calvo Basarán.,2,PARTIDO POPULAR (P.P.),P.P.,True,-1.0
180,3,Jose, José Ortíz Pintor.,3,PARTIDO POPULAR (P.P.),P.P.,True,-1.0
181,3,Eloisa, Eloisa Trillo-Figueroa Ávila.,4,PARTIDO POPULAR (P.P.),P.P.,True,1.0
182,3,Cristina, Cristina Flora Molina Ciudad.,5,PARTIDO POPULAR (P.P.),P.P.,True,1.0
183,4,Ramon, Ramón Tremosa i Balcells (CiU).,1,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
